0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.299402511,-1.226624188,1.49842505,-1.176150361,5.289852555,0.208297114,2.404498367,1.594506222,-0.051608163,0.66323431,-1.408370064,1.114743635,0.91041531,2.218110318,4.305642729,0.088923978,0.169149259,0.413447638,1.513862171,2.662966583,-1.072765481,0.149111121,0.559579192,4.378884642,-0.463602656,-0.063959155,0.544930305,0.712771667,-1.494050126,-2.636168875,-0.850465446,-0.622989996,-1.833057343,0.293024385,3.552681341,0.717610994,3.305971975,-2.715558815,-2.682408587,0.101050472
-1.174175854,0.332157342,0.949918751,-1.285327575,2.199060599,-0.151268031,-0.427038743,2.619246139,-0.765883829,-0.093780223,0.935346806,1.057795888,-0.539275142,-0.172661522,-0.679051491,0.607361589,1.14863456,2.437077342,-0.313068535,0.528104233,-0.513475617,0.766221406,-1.466939261,-2.318885334,1.647223155,-1.556442806,-1.645580523,-0.198466613,-1.472066401,-1.9061467,-0.819750232,0.012036609,2.038835649,0.468578863,-0.517656871,0.422325687,0.803698803,1.213219259,1.382931635,-1.81776106
1.192222083,-0.414370735,0.067054184,-2.233568487,3.65888057,0.089006963,0.203439006,-4.2190543,-1.184919095,-1.240310051,-0.890269511,0.909968546,-11.85131177,3.352419854,-4.862124565,-0.903317295,-1.824344085,0.045446455,-2.126474121,1.161562504,-1.027911697,-1.078792073,1.848525491,3.758918295,0.623648704,-0.091044495,-1.033093599,-0.254150609,-4.377541801,-1.196298488,-0.604501222,0.750054187,-3.360520612,0.856987995,-2.751451133,-1.582734923,1.672245725,0.656437502,-0.932472823,2.987435798
1.57327012,-0.5803178,-0.866332292,-0.603812437,3.12571649,0.870320772,-0.161992481,4.499665573,1.038741347,-1.092715868,-0.713474187,-0.136399301,0.058990388,-1.083458327,1.622658815,-1.685581619,-1.222878952,-0.215833851,0.155611744,0.627872747,-0.732788595,1.337940936,1.335688944,0.680061974,0.504754031,1.204808221,0.144477334,0.673992862,1.027921282,3.073382227,1.022959266,1.275597876,-3.480110405,-1.065251531,2.153133255,1.56353943,2.767116571,0.215747511,0.619645417,1.883396649
-0.613071417,-0.644204134,1.112558081,-0.03239654,3.490142054,-0.011934619,1.44352146,-4.290281657,-1.761307518,0.807651853,-0.416574513,0.433861932,-12.82282088,-0.048247661,-5.031496588,-0.704412665,0.515951584,-2.635898906,-2.359880649,-0.053400154,0.741432007,1.573042718,0.723686028,1.735601913,0.33577372,0.572904884,0.625971064,0.412083673,-4.883833223,-5.588331877,0.513905507,-1.803473465,0.518578969,-0.205028908,-4.744565928,-1.520015071,1.830650576,0.870772237,-1.894609457,0.408332323
-0.773247365,-0.123227153,0.047423275,-0.210266284,10.37779296,0.526603961,-2.751616232,0.315540929,0.608602908,-0.043421293,0.192454604,-0.146712222,3.73270818,-0.313714374,1.566330189,0.570414535,-2.451730004,0.946946024,3.118289345,0.169901806,-0.744260814,-1.714586283,1.391284972,3.897549499,0.36231602,0.033737586,-1.194430909,-1.075609991,-1.291694591,-3.953392468,-1.487713655,0.792790311,-0.540711259,0.114114978,-0.277476819,-0.896410682,-2.805207255,0.46916249,3.614157025,0.081688966
1.483814259,-0.296300913,0.452697396,0.053363299,-4.48022731,-1.189785671,1.963951108,-0.61018854,1.312698036,2.493389818,-0.20837491,-0.278989647,-1.073359519,0.271366302,-1.680348305,-0.193312691,-0.865922652,-0.799766529,1.04650698,0.330387598,-0.01956663,0.470812234,-1.343355124,-0.772670432,-0.726038008,-2.009480266,-1.632443337,-0.801951214,0.147272238,-0.518103206,-0.064300739,-1.902988909,3.441766808,1.481433763,-0.50705504,-0.117490126,1.877093168,-0.531129298,-1.574326098,-1.733600057
0.763901496,-3.492085591,0.329563858,1.300720287,5.037783281,0.149121827,-5.014213773,-1.966723115,-1.828131651,0.289910953,-0.958630817,0.509550665,8.801588781,-1.031530033,1.036913792,0.265521857,-0.73231293,-0.358685996,0.344814829,-0.600545421,2.572545439,0.635032531,-0.539408903,7.939826233,0.13108156,0.712079365,1.851171917,-0.739268067,-0.744712132,-1.118288398,-0.314327988,1.317464676,-0.802101175,-1.622428925,3.930146537,0.952520553,-0.775724368,1.047128722,3.252373752,-1.32029038
0.380964083,-1.533579592,0.786602351,1.311827012,-6.122085732,1.837292589,1.872340882,-2.604811201,-0.179111244,2.655690501,1.434955024,-0.07759163,0.007552656,1.816356933,-1.349132218,-0.30044768,-0.070853364,-0.766583973,2.104771298,-0.330249879,1.792412502,-0.750685452,-0.786980721,-1.044306941,0.819428263,-0.528958377,0.864875386,-2.334867781,2.361958046,1.151415863,-1.221536078,-1.928554937,1.500312063,0.381376882,-1.090006866,-0.135532067,0.897453515,-0.157605306,-0.353676371,1.203563268
-0.688936237,-0.879469555,-1.150302009,-0.131128993,-0.617483459,-0.774317235,-3.061152973,-0.516863838,-0.924852547,-1.401560388,-0.883364861,1.400724558,1.155858315,1.486255625,-2.997112768,-0.671966693,-0.769728748,-0.965746403,3.386557918,0.188831566,-0.305701948,-0.365398957,-2.206483074,4.328678535,1.568147802,-1.341567503,0.098754729,0.483593286,0.140896971,5.067783149,-0.119980771,0.531981393,-1.326816386,-0.457071059,-2.998022825,-0.061020015,2.745646139,0.861720364,-1.413428067,1.714610612
